battle_id,league_id,team_a_id,team_b_id,start_time,winrate_diff,gold_diff,tower_diff,big_dragon_diff,tyrant_diff,kda_diff_30d,kda_diff_all,winrate_diff_all,games_diff,top_kda_diff,top_mvp_diff,jungle_kda_diff,jungle_mvp_diff,mid_kda_diff,mid_mvp_diff,adc_kda_diff,adc_mvp_diff,support_kda_diff,support_mvp_diff,label
870334992_54_1762087527,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,0
870334992_55_1762089764,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,1
1054884368_37_1762595238,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,1
1054884368_38_1762598027,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,0
1054884368_39_1762600253,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,1
1054884368_40_1762604270,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,1
1054884368_41_1762606844,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,0
1054884368_42_1762609208,20250003,10027,10001,2025-11-08 17:30:00,0.1205357142857143,5903.892857142855,0.07291666666666696,0.028273809523809534,-0.28422619047619047,-1.756733035714288,-0.049357876106194354,0.12682096664397557,-17,-0.835217391304349,0.4521739130434783,0.7486607142857133,0.480952380952381,-0.1461309523809522,0.9937500000000012,-1.0949999999999998,-0.20437500000000064,0.5579109062980034,0.48279569892473173,1
736117264_10_1764993826,20250004,10009,10036,2025-12-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.704251470588235,0.014705882352941124,68,2.75,1.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_11_1764996190,20250004,10009,10036,2025-12-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.704251470588235,0.014705882352941124,68,2.75,1.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_12_1764998702,20250004,10009,10036,2025-12-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.704251470588235,0.014705882352941124,68,2.75,1.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_13_1765002980,20250004,12205,10028,2025-12-06 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.73155,0.0735294117647059,-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_14_1765005198,20250004,12205,10028,2025-12-06 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.73155,0.0735294117647059,-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_15_1765007237,20250004,12205,10028,2025-12-06 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.73155,0.0735294117647059,-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_16_1765009678,20250004,12205,10028,2025-12-06 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.73155,0.0735294117647059,-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_17_1765016250,20250004,10002,10101,2025-12-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.3857016025641036,0.0964590964590965,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_18_1765018438,20250004,10002,10101,2025-12-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.3857016025641036,0.0964590964590965,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_19_1765020299,20250004,10002,10101,2025-12-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.3857016025641036,0.0964590964590965,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_20_1765022302,20250004,10002,10101,2025-12-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.3857016025641036,0.0964590964590965,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_21_1765024254,20250004,10002,10101,2025-12-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.3857016025641036,0.0964590964590965,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_22_1765028248,20250004,10027,12203,2025-12-06 20:30:00,0.16666666666666663,55716.5,4.333333333333333,0.8333333333333334,1.8333333333333333,4.453566666666667,6.707542016806722,0.23109243697478987,119,3.3833333333333337,0.833333333333333,4.716666666666666,2.333333333333335,1.9499999999999997,1.7666666666666666,5.666666666666667,2.5999999999999988,3.716666666666667,2.333333333333333,1
736117264_23_1765030013,20250004,10027,12203,2025-12-06 20:30:00,0.16666666666666663,55716.5,4.333333333333333,0.8333333333333334,1.8333333333333333,4.453566666666667,6.707542016806722,0.23109243697478987,119,3.3833333333333337,0.833333333333333,4.716666666666666,2.333333333333335,1.9499999999999997,1.7666666666666666,5.666666666666667,2.5999999999999988,3.716666666666667,2.333333333333333,1
736117264_24_1765031699,20250004,10027,12203,2025-12-06 20:30:00,0.16666666666666663,55716.5,4.333333333333333,0.8333333333333334,1.8333333333333333,4.453566666666667,6.707542016806722,0.23109243697478987,119,3.3833333333333337,0.833333333333333,4.716666666666666,2.333333333333335,1.9499999999999997,1.7666666666666666,5.666666666666667,2.5999999999999988,3.716666666666667,2.333333333333333,1
736117264_26_1765080440,20250004,12201,10016,2025-12-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-7.202737301587302,-0.04761904761904767,-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_27_1765082517,20250004,12201,10016,2025-12-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-7.202737301587302,-0.04761904761904767,-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_28_1765085388,20250004,12201,10016,2025-12-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-7.202737301587302,-0.04761904761904767,-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_29_1765089456,20250004,10903,10017,2025-12-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9995326854944828,-0.16530013159226636,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
736117264_30_1765092059,20250004,10903,10017,2025-12-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9995326854944828,-0.16530013159226636,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
736117264_31_1765093938,20250004,10903,10017,2025-12-07 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9995326854944828,-0.16530013159226636,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
